BusStopCode,RoadName,Description,FullName,Latitude,Longitude
43751,Bt Batok Rd,Opp Blk 443D,43751 - Opp Blk 443D,1.3563,103.73666
43759,Bt Batok Rd,Blk 443D,43759 - Blk 443D,1.35597,103.7369
43761,Bt Batok Rd,Opp Dulwich Coll,43761 - Opp Dulwich Coll,1.35079,103.73766
43769,Bt Batok Rd,Dulwich Coll/Blk 445,43769 - Dulwich Coll/Blk 445,1.35151,103.73782
43771,Bt Batok Rd,Opp Blk 433B,43771 - Opp Blk 433B,1.36201,103.74136
43779,Bt Batok Rd,Blk 433C,43779 - Blk 433C,1.36196,103.74177
43781,Bt Batok Rd,Opp Blk 437A,43781 - Opp Blk 437A,1.35886,103.7386
43789,Bt Batok Rd,Blk 436A,43789 - Blk 436A,1.35916,103.7395
43799,Bt Batok West Ave 8,Blk 432A,43799 - Blk 432A,1.36029,103.74322
43801,Bt Batok St 52,Ren Ci @ Bt Batok St 52,43801 - Ren Ci @ Bt Batok St 52,1.35521,103.75173
43809,Bt Batok St 52,Blk 514,43809 - Blk 514,1.35437,103.75187
43811,Hume Ave,Bef Summerhill,43811 - Bef Summerhill,1.35839,103.7649
43819,Hume Ave,Hillview Green,43819 - Hillview Green,1.35816,103.7651
43821,Hume Ave,Opp Symphony Hts,43821 - Opp Symphony Hts,1.35675,103.7676
43829,Hume Ave,Symphony Hts,43829 - Symphony Hts,1.35686,103.76737
43831,Bt Batok West Ave 7,Blk 334,43831 - Blk 334,1.36513,103.74789
43839,Bt Batok West Ave 7,Opp Blk 336,43839 - Opp Blk 336,1.36527,103.74825
43841,Bt Batok St 33,Blk 324,43841 - Blk 324,1.36195,103.74752
43891,Dairy Farm Rd,Aft Dairy Farm Cres,43891 - Aft Dairy Farm Cres,1.3637,103.76923
43899,Dairy Farm Rd,Bef Dairy Farm Cres,43899 - Bef Dairy Farm Cres,1.36354,103.769
43961,Dairy Farm Rd,Aft Dairy Farm Hts,43961 - Aft Dairy Farm Hts,1.36484,103.77299
43969,Dairy Farm Rd,Bef Dairy Farm Hts,43969 - Bef Dairy Farm Hts,1.36463,103.77259
43991,Woodlands Rd,Opp Blk 635A,43991 - Opp Blk 635A,1.38621,103.7565
44009,Choa Chu Kang Loop,Choa Chu Kang Int,44009 - Choa Chu Kang Int,1.38587,103.74579
44011,Upp Bt Timah Rd,Opp The Linear,44011 - Opp The Linear,1.37449,103.76257
44019,Upp Bt Timah Rd,The Linear,44019 - The Linear,1.37651,103.76253
