POSTALCODE,ADDRESS,NAME,LONGITUDE,LATITUDE
208413,16 MADRAS STREET THE DAULAT,The Daulat By Hotel Calmo,103.852855023694,1.30475126170812
49326,80 Collyer Quay,The Fullerton Bay Hotel,103.8534802041,1.28396667042346
49178,1 Fullerton Square,The Fullerton Hotel,103.852970351253,1.2861932360653
208422,28 MADRAS STREET THE GREAT MADRAS,The Great Madras By Hotel Calmo,103.853009974106,1.30493595075971
218223,624 SERANGOON ROAD THE HIVE,The Hive Singapore Hostel,103.858786331918,1.31571664407736
199137,5 JALAN PINANG TREE IN LODGE,The Hive@bugis,103.858395163567,1.30262934394456
58581,36 Temple Street,The Inn at Temple Street,103.843868478868,1.28320660795322
89165,69 Keong Saik Road,The Keong Saik Hotel,103.841640168586,1.28103904341286
209012,407 JALAN BESAR THE NOBLE HOTEL,The Noble Hotel,103.859775934817,1.31379680423507
99951,"10 ARTILLERY AVENUE, # 03-01",The Outpost Hotel Sentosa,103.819943383466,1.25225951518978
199552,"289 Beach Road , # 03-01",The Pod,103.860546413684,1.30105228944496
58688,57 SOUTH BRIDGE ROAD SANTA GRAND HOTEL BOAT QUAY,THE QUAY HOTEL,103.848312936218,1.2870550760207
338739,139 LAVENDER STREET AQUEEN HOTEL - LAVENDER,The Quay Hotel Lavender,103.861185772159,1.31234470122478
118769,428 PASIR PANJANG ROAD SANTA GRAND HOTEL WEST COAST,The Quay Hotel West Coast,103.768589721055,1.29233444235646
228517,22 Mount Elizabeth,The Quincy Hotel,103.835748313428,1.30775153247414
39799,7 Raffles Avenue,"The Ritz-Carlton, Millenia Singapore",103.860047265048,1.29071830259005
69333,33 Erskine Road,The Scarlet Hotel,103.845399436379,1.28082649176573
169875,52 Chin Swee Road,The Seacare Hotel,103.839843127647,1.28771626958407
428996,400 EAST COAST ROAD REDDOORZ NEAR MARINE PARADE CENTRAL,The Snooze Hotel @ Marine Parade,103.912040454705,1.30869695647047
58759,210 South Bridge Road,The Southbridge Hotel,103.845656808105,1.28341894026954
208559,111H King George's Avenue,Traveller@sg,103.861714993221,1.31033177948249
388703,11 Lorong 11 Geylang,Hotel 81 - Joy,103.876803320046,1.31278803988666
534636,"768 Upper Serangoon Road , # 02-01",Hotel 81 - Kovan,103.878866751339,1.35420717029808
427452,181 Joo Chiat Road,Hotel 81 - Sakura,103.900510985539,1.31229179932804
188318,161 Selegie Road,Hotel 81 - Selegie,103.849884117871,1.3032844053482
388619,22 Lorong 15 Geylang,Hotel 81 - Spring,103.878270058693,1.31368275668813
398828,31 Lorong 18 Geylang,Hotel 81 - Star,103.880860523551,1.31160600473177
424780,1 Onan Road,Hotel 81 - Tristar,103.897420527925,1.31568836964855
338722,97 Lavender Street,Hotel 81 - Violet,103.862164062966,1.31106785024407
189626,47 Bencoolen Street,Hotel Bencoolen,103.850108265483,1.29918672172522
199020,500 Jalan Sultan,Hotel Boss,103.860266746951,1.30571322703811
189699,95 BEACH ROAD,Hotel Calmo Bugis,103.856724241667,1.29750992774441
58476,25 TRENGGANU STREET HOTEL 1887,Hotel Calmo Chinatown,103.84417516824,1.28256767918621
229635,28 Cavenagh Road,Hotel Chancellor @ Orchard,103.841931936895,1.30145985771336
427353,12 JOO CHIAT ROAD,HOTEL CLASSIC,103.897717275598,1.31564277206077
59650,7 HONGKONG STREET,Hotel Clover 7 Hongkong Street,103.847711703541,1.28746404866926
198737,769 NORTH BRIDGE ROAD HOTEL CLOVER 769 NORTH BRIDGE ROAD,Hotel Clover 769 North Bridge Road,103.859584470771,1.30367081350441
58689,58 South Bridge Road,Hotel Clover The Arts,103.848141341165,1.28754163889102
59905,16 Carpenter Street,Hotel Conforto,103.847855885666,1.28834728764827
178881,11 Canning Walk,Hotel Fort Canning,103.845362056485,1.29581266426264
399541,22 Jalan Molek,Hotel Fuji,103.882676232074,1.31170570900502
188980,200 MIDDLE ROAD BIG HOTEL,Hotel G Singapore,103.851506467292,1.30091639007984
229617,22 Cavenagh Road,Hotel Grand Central,103.841767535762,1.3012946724269
188018,101 Victoria Street,Hotel Grand Pacific,103.852228308446,1.29755505808723
428788,"86 EAST COAST ROAD, # 01-01 KATONG SQUARE",Hotel Indigo Singapore Katong,103.904298453373,1.30511658100901
189623,"41 BENCOOLEN STREET, # 01-01",Hotel Mi,103.850020544639,1.29898582310214
98269,8 Sentosa Gateway,Hotel Michael,103.819934744284,1.25628981550441
169631,401 Havelock Road,Hotel Miramar Singapore,103.837414948933,1.28821989466535
59498,"18 MOSQUE STREET, # 01-04",Hotel Mono,103.844451263067,1.28379045079176
199143,11 Jalan Pinang,Hotel Nuve,103.858275297851,1.30275140814887
59680,41 HONGKONG STREET,Hotel NuVe Elements,103.847485428195,1.28723475456215
188592,13 PURVIS STREET ADONIS HOTEL,Hotel NuVe Heritage,103.855342376526,1.29651404832504
208906,230 JALAN BESAR AQUEEN - JALAN BESAR HOTEL,Hotel NuVe Stellar,103.858027585848,1.30929085528988
208582,3 KING GEORGE'S AVENUE,Hotel NuVe Urbane,103.858805131874,1.30732088892971
169879,175A Chin Swee Road,Hotel Re! @ Pearl's Hill,103.838407284725,1.28541002481652
307964,36 Newton Road,Hotel Royal,103.841859487874,1.31683060092808
209854,"26 CAVAN ROAD, # 01-01 HOTEL SNOW LAVENDER",Hotel Snow Lavender,103.861821449557,1.31087924623786
168727,77 Tiong Bahru Road,Nostalgia Hotel,103.833551413429,1.28509462357436
79333,100 Peck Seah Street,"Oasia Hotel Downtown, Singapore",103.844244859294,1.27585063042586
307470,8 Sinaran Drive,"Oasia Hotel Novena, Singapore",103.844782388216,1.32003004588439
98679,"23 BEACH VIEW LE MERIDIEN SINGAPORE, SENTOSA",Oasia Resort Sentosa,103.81955756883,1.25329365829851
98497,11 Cove Drive,ONE15 Marina Club,103.838344779654,1.2465985797506
238879,442 Orchard Road,Orchard Hotel Singapore,103.82816440606,1.30766860889292
247905,1 Tanglin Road,"Orchard Rendezvous Hotel, Singapore",103.827739432245,1.3065751631695
78867,1 Tras Link,Orchid Hotel,103.843847231635,1.27693674003785
188549,218 Queen Street,Oxford Hotel,103.851820111255,1.29801057337893
199592,7500B Beach Road,Pan Pacific Serviced Suites Beach Road,103.860232906684,1.29943396113579
486015,2 Changi Business Park Avenue 1,Park Avenue Changi,103.963024016311,1.33576405585821
138637,31 Rochester Drive,Park Avenue Rochester,103.788347378512,1.30535120421258
189692,81 Beach Road,Park View Hotel,103.856493948351,1.29720599549406
39594,6 RAFFLES BOULEVARD MARINA SQUARE,"PARKROYAL COLLECTION Marina Bay, Singapore",103.857007341008,1.29145525906521
58289,3 Upper Pickering Street,"PARKROYAL Collection Pickering, Singapore",103.846290282213,1.28563913664569
199591,7500A Beach Road The Plaza,"PARKROYAL on Beach Road, Singapore",103.860070225371,1.29945373680809
208533,181 Kitchener Road,PARKROYAL on Kitchener Road,103.855657430547,1.31053024250151
118741,404 Pasir Panjang Road,Pasir Panjang Inn,103.770167551417,1.29207833471118
179805,5 Coleman Street,Peninsula.Excelsior Hotel,103.849820409422,1.29194591965028
219894,33 Birch Road,Penta Hotel,103.853597393505,1.31119377982074
209598,75 DESKER ROAD MARRISON @ DESKER,PHILIP HOTEL,103.855693846613,1.30887261138248
469546,"357A BEDOK ROAD, # 1-",Q Loft Hotels@Bedok,103.94704995457,1.33160106900625
189673,1 Beach Road,Raffles Hotel Singapore,103.854068347721,1.29509740338279
397662,61 WESTERHOUT ROAD,RedDoorz @ Geylang,103.881036636411,1.31122558409044
329795,387 BALESTIER ROAD,RedDoorz Premium @ Balestier,103.849916718951,1.32522194228204
258352,30 ORANGE GROVE ROAD RELC BUILDING,RELC International Hotel,103.826031941452,1.31283861068763
189559,9 Bras Basah Road,Rendezvous Hotel Singapore,103.849316129852,1.29858300371701
126887,52 WEST COAST FERRY ROAD,Republic of Singapore Yacht Club,103.762546146246,1.2927111322646
199207,8 JALAN KUBOR SANTA GRAND HOTEL BUGIS,Rest Bugis Hotel,103.859429082823,1.30405334691991
59672,33C Hongkong Street,River City Inn,103.847112672325,1.28741331170278
237983,1 UNITY STREET PARK HOTEL CLARKE QUAY,Riverside Hotel Robertson Quay,103.842327428168,1.2915459523654
638404,10 Tuas West Drive,RM Hotel,103.635089828004,1.34158800024817
239032,15 Merbau Road,Robertson Quay Hotel,103.841986002487,1.29116819945415
207667,"88 Syed Alwi Road , # 01-02",Royal India Hotel,103.855672473307,1.30922887156542
58597,52 TEMPLE STREET,Rucksack Inn @ Temple St,103.843619109692,1.28335254995708
207566,153A TYRWHITT ROAD QINAN BUILDING,Rucksack Inn @ Tyrwhitt,103.860208871905,1.31190914918039
209391,63 Dunlop Street,Sandpiper Hotel,103.853595766242,1.30480931241135
428877,171 East Coast Road,Santa Grand Hotel East Coast,103.905795541013,1.30672319863699
398673,15 Lorong 22 Geylang,Seng Wah Hotel,103.882411818147,1.31231758276067
98970,101 Siloso Road Sentosa,"Shangri-La Rasa Sentosa, Singapore",103.809797894322,1.25780205516677
258350,22 Orange Grove Road,Shangri-La Singapore,103.826756760616,1.31124740290096
228230,39 Scotts Road,Sheraton Towers Singapore Hotel,103.836462155528,1.31195052968093
99538,51 Imbiah Walk,Siloso Beach Resort,103.814500414013,1.25498728174306
238865,320 Orchard Road,Singapore Marriott Tang Plaza Hotel,103.832874081575,1.3050223054635
209180,"9 HAMILTON ROAD, # 01-01",Singapore OSS Backpackers Hostel Pte Ltd,103.860729254991,1.31141627021243
209356,28 DUNLOP STREET KAWAN HOSTEL,Snooze Inn @ Dunlop Street,103.854022759534,1.30473915824794
209518,43 DICKSON ROAD PHIL INN,Snooze Inn Pte Ltd,103.853723617758,1.30536816987403
78885,9 WALLICH STREET,Sofitel Singapore City Centre,103.845070104293,1.2769051570011
99891,2 Bukit Manis Road,Sofitel Singapore Sentosa Resort & Spa,103.827492431992,1.24579708620123
187965,190 Waterloo Street,South East Asia Hotel,103.853135267954,1.30108678628959
208559,111J King George's Avenue,Spacepod@Lavender,103.861714993221,1.31033177948249
189694,85 BEACH ROAD 85 BEACH GARDEN HOTEL,ST Signature Bugis Beach,103.856569786349,1.29730337226863
58822,273A SOUTH BRIDGE ROAD,ST Signature Chinatown,103.845275724046,1.28184250020967
207372,15 UPPER WELD ROAD BUNC HOSTEL,ST Signature Jalan Besar,103.854840702869,1.30536577750822
427471,200 Joo Chiat Road,Betel Box Backpackers Hostel,103.900168104154,1.31220268168059
207564,151 Tyrwhitt Road,Blanc Inn,103.860152247876,1.3118099599849
58353,62 Upper Cross Street,Bliss Hotel Singapore,103.844304195694,1.28445774430707
188091,"2 TAN QUEE LAN STREET, # 02-01 ATLANTIS PODS @ BUGIS",Bluewaters Pod,103.856934787679,1.29800182513386
59677,"38 HONGKONG STREET, # 02-01 BEDS AND DREAMS INN @ CLARKE QUAY",Bluewaters Pods 38 Hong Kong St,103.847321966187,1.28732251503644
388575,20 Lorong 17 Geylang,Bright Star Hotel,103.878864850579,1.31351598467175
398793,10 LORONG 18 GEYLANG BUDGETONE HOTEL,BudgetOne Hotel,103.880423593148,1.31221720783339
88392,22 TECK LIM ROAD PARK 22 HOTEL CHINATOWN,BUTTERNUTTREE HOTEL,103.841824512271,1.28063133791161
486917,393F Upper Changi Road,Cameron Hotel,103.954974045383,1.33674234821614
209922,50 CAMPBELL LANE CHECKERS BACKPACKERS,Campbell Inn,103.852641538954,1.30499470478209
98297,1 The Knolls,"Capella Hotel, Singapore",103.824378229099,1.24948297406912
486037,3 Changi Business Park Central 1 Changi City,"Capri By Fraser Changi City, Singapore",103.963583777969,1.3342655648281
58743,181 SOUTH BRIDGE ROAD,"Capri By Fraser China Square, Singapore",103.847061684457,1.28401467620777
388194,76A LORONG 27 GEYLANG,CapsulePod@Aljunied,103.883955325222,1.31594220611958
78862,1 Gopeng Street,Carlton City Hotel Singapore,103.84369850009,1.27595845561159
189558,76 Bras Basah Road,Carlton Hotel,103.852518906013,1.29592644324195
427726,60 Joo Chiat Road,Champion Hotel,103.898383230238,1.31472881878152
59293,37 NORTH CANAL ROAD,CHAMPION HOTEL CITY,103.847101673167,1.28705545548872
509866,351 Cranwell Road,Changi Cove,103.975654971312,1.38857514608333
219184,60 KERBAU ROAD PARK 22 HOTEL LITTLE INDIA,Check-Inn @Little India,103.850729187175,1.30761951351103
199550,285 BEACH ROAD,Checkers Hostel @ Beach Road,103.86040749689,1.30097778667236
509404,159 Jalan Loyang Besar,Cherryloft Resorts,103.958317578175,1.37916855177722
49362,6 CIRCULAR ROAD,Circular House,103.848964671913,1.28795051990571
239923,182 CLEMENCEAU AVENUE,CITADINES CONNECT CITY CENTRE,103.844097160701,1.29775076085552
218227,"2 SERANGOON ROAD, # 03-01 TEKKA PLACE",Citadines Rochor Singapore,103.851438825178,1.30512221745202
59661,18 Hongkong Street,City Backpackers,103.847281913664,1.2878039882589
208913,"240 Jalan Besar , # 01-01",Classique Hotel,103.85816175664,1.30942994343081
58670,36 SOUTH BRIDGE ROAD LAI NGUANG BUILDING,Heritage Collection on Clarke Quay,103.848499242966,1.28808237913163
238867,333 Orchard Road,Hilton Singapore Orchard,103.836167404144,1.30209033159022
59573,2 Magazine Road,Holiday Inn Express Singapore Clarke Quay,103.841983925747,1.28924402665703
423371,"88 EAST COAST ROAD, # 07-05 KATONG SQUARE",Holiday Inn Express Singapore Katong,103.904574228644,1.30485336795088
229921,20 Bideford Road,Holiday Inn Express Singapore Orchard Road,103.836680368343,1.30322795583465
209019,270 JALAN BESAR,Holiday Inn Express Singapore Serangoon,103.858630348608,1.31014109037569
217564,10 FARRER PARK STATION ROAD FARRER SQUARE,Holiday Inn Singapore Little India,103.854748159228,1.31198097077815
229616,11 Cavenagh Road,Holiday Inn Singapore Orchard City Centre,103.841101584501,1.30227912538394
329706,"246 Balestier Road , # 02-01",Hoover Hotel,103.853069621772,1.32170313863895
208532,165 Kitchener Road,Hotel 165,103.856274002503,1.31047892595777
58479,"20 TRENGGANU STREET, # 01-03 JINSHAN HOTEL",Hotel 1888,103.843899635185,1.28285932265539
89154,50 KEONG SAIK ROAD HOTEL 1929,HOTEL 1929,103.841812331317,1.28079216116778
329688,226 Balestier Road,Hotel 81 - Balestier,103.853123339191,1.32138046634844
188995,31 Middle Road,Hotel 81 - Bugis,103.855618625297,1.29687853383032
419871,"428 Changi Road , # 01-01",Hotel 81 - Changi,103.911729077231,1.31869115633081
399014,3 Lorong 12 Geylang,Hotel 81 - Cherry,103.878417449833,1.31199127691196
59418,181 New Bridge Road,Hotel 81 - Chinatown,103.844098495279,1.28456367163908
89263,8 Jiak Chuan Road,Hotel 81 - Cosy,103.841859436164,1.27966689951546
209530,3 Dickson Road,Hotel 81 - Dickson,103.854269341864,1.30490446592441
209276,"30 Foch Road , # 01-01",Hotel 81 - Elegance,103.860271802335,1.3123796568512
329720,269 Balestier Road,Hotel 81 - Fuji,103.852599834279,1.32218488470822
398863,20 Lorong 16 Geylang,Hotel 81 - Geylang,103.879565363057,1.31178580684439
398738,20 Lorong 20 Geylang,Hotel 81 - Gold,103.881122176831,1.31195629079881
198985,71 Jalan Sultan Road,Hotel 81 - Heritage,103.861299879306,1.30271606708358
399121,61 Lorong 8 Geylang,Hotel 81 - Hollywood,103.877447760285,1.31005583680827
