MRTStopCode,MRTStopName,Type,FullName,Latitude,Longitude
DT17,DOWNTOWN MRT STATION,MRT,Downtown (DT17),1.279446190378722,103.85284044403936
CC3,ESPLANADE MRT STATION,MRT,Esplanade (CC3),1.2933216076112375,103.8555041055266
CC5,NICOLL HIGHWAY MRT STATION,MRT,Nicoll Highway (CC5),1.299766835267978,103.86363701849602
CC17/TE9,CALDECOTT MRT STATION,MRT,Caldecott (CC17 / TE9),1.3376745080443386,103.8395298207638
NS27/TE20/CE2,MARINA BAY MRT STATION,MRT,Marina Bay (NS27 / TE20 / CE2),1.2764273547506024,103.85459777754323
CC27,LABRADOR PARK MRT STATION,MRT,Labrador Park (CC27),1.2723327315964736,103.80293962041964
NE4/DT19,CHINATOWN MRT STATION,MRT,Chinatown (NE4 / DT19),1.2843595782329786,103.84342677594374
DT8,TAN KAH KEE MRT STATION,MRT,Tan Kah Kee (DT8),1.3258832089224446,103.80732220761212
EW17,TIONG BAHRU MRT STATION,MRT,Tiong Bahru (EW17),1.28619339285898,103.82701943092376
DT3,HILLVIEW MRT STATION,MRT,Hillview (DT3),1.3623448685278603,103.76741825445647
DT6,KING ALBERT PARK MRT STATION,MRT,King Albert Park (DT6),1.3356651207597656,103.78380665887346
DT25,MATTAR MRT STATION,MRT,Mattar (DT25),1.3268767147126137,103.88324750917997
DT27,UBI MRT STATION,MRT,Ubi (DT27),1.329956825703842,103.8992525249772
DT5,BEAUTY WORLD MRT STATION,MRT,Beauty World (DT5),1.34122317571135,103.77579428529484
DT28,KAKI BUKIT MRT STATION,MRT,Kaki Bukit (DT28),1.334967301564287,103.90845973446444
DT29,BEDOK NORTH MRT STATION,MRT,Bedok North (DT29),1.3347421167583993,103.91797832977343
NS24/NE6/CC1,DHOBY GHAUT MRT STATION,MRT,Dhoby Ghaut (NS24 / NE6 / CC1),1.2987013066295312,103.84611515467624
NE11,WOODLEIGH MRT STATION,MRT,Woodleigh (NE11),1.339190045525152,103.87081830937498
NS20,NOVENA MRT STATION,MRT,Novena (NS20),1.3204407908478988,103.84382561881532
NE12/CC13,SERANGOON MRT STATION,MRT,Serangoon (NE12 / CC13),1.3497078753792613,103.87357484685836
DT30,BEDOK RESERVOIR MRT STATION,MRT,Bedok Reservoir (DT30),1.336607829810492,103.93223462362464
NS28,MARINA SOUTH PIER MRT STATION,MRT,Marina South Pier (NS28),1.2713367113291696,103.86285976963735
NE8,FARRER PARK MRT STATION,MRT,Farrer Park (NE8),1.3123598402121364,103.8541771415314
CC12,BARTLEY MRT STATION,MRT,Bartley (CC12),1.342828337737579,103.87975890622788
CC8,DAKOTA MRT STATION,MRT,Dakota (CC8),1.3083826392669968,103.88866260393172
CC26,PASIR PANJANG MRT STATION,MRT,Pasir Panjang (CC26),1.2762135226853348,103.79135031315435
NE5,CLARKE QUAY MRT STATION,MRT,Clarke Quay (NE5),1.2883860242011411,103.84655520929512
NS17/CC15,BISHAN MRT STATION,MRT,Bishan (NS17 / CC15),1.3508389876938425,103.84814396447456
CC16,MARYMOUNT MRT STATION,MRT,Marymount (CC16),1.3487072630182246,103.83942313256962
CC25,HAW PAR VILLA MRT STATION,MRT,Haw Par Villa (CC25),1.282542156642901,103.78181045132038
CC14,LORONG CHUAN MRT STATION,MRT,Lorong Chuan (CC14),1.35161217102563,103.8641519380472
EW11,LAVENDER MRT STATION,MRT,Lavender (EW11),1.3073570200955626,103.86282920810665
CC11,TAI SENG MRT STATION,MRT,Tai Seng (CC11),1.3354333222229142,103.88819486115298
DT13,ROCHOR MRT STATION,MRT,Rochor (DT13),1.3039164839645871,103.85242168070454
NE7/DT12,LITTLE INDIA MRT STATION,MRT,Little India (NE7 / DT12),1.3068000253123342,103.8496469665724
DT10/TE11,STEVENS MRT STATION,MRT,Stevens (DT10 / TE11),1.3200655570067297,103.8260244022438
BP6/DT1,BUKIT PANJANG MRT STATION,MRT,Bukit Panjang (BP6 / DT1),1.379002116717668,103.76153511473294
DT2,CASHEW MRT STATION,MRT,Cashew (DT2),1.3693698310643436,103.76469442231075
DT7,SIXTH AVENUE MRT STATION,MRT,Sixth Avenue (DT7),1.330786387363983,103.79724631666106
NS19,TOA PAYOH MRT STATION,MRT,Toa Payoh (NS19),1.332628987123201,103.8475017643402
TE3,WOODLANDS SOUTH MRT STATION,MRT,Woodlands South (TE3),1.4272599787112468,103.7938508924378
NE10,POTONG PASIR MRT STATION,MRT,Potong Pasir (NE10),1.3313795246192943,103.86905566527228
NE14,HOUGANG MRT STATION,MRT,Hougang (NE14),1.3712922916785375,103.89238051891172
NE9,BOON KENG MRT STATION,MRT,Boon Keng (NE9),1.3193957060230523,103.8616865018698
DT34,UPPER CHANGI MRT STATION,MRT,Upper Changi (DT34),1.3417374838931966,103.9614717886784
CG2,CHANGI AIRPORT MRT STATION,MRT,Changi Airport (CG2),1.3573145453309785,103.98836465850532
NS18,BRADDELL MRT STATION,MRT,Braddell (NS18),1.340471684451099,103.84679784541233
NE15,BUANGKOK MRT STATION,MRT,Buangkok (NE15),1.382877858147225,103.8931215647853
CC4/DT15,PROMENADE MRT STATION,MRT,Promenade (CC4 / DT15),1.2932180514893272,103.860999155887
CC19/DT9,BOTANIC GARDENS MRT STATION,MRT,Botanic Gardens (CC19 / DT9),1.3221101929847647,103.81498275034396
NS26/EW14,RAFFLES PLACE MRT STATION,MRT,Raffles Place (NS26 / EW14),1.2841256105732046,103.85146171209112
CC21,HOLLAND VILLAGE MRT STATION,MRT,Holland Village (CC21),1.3118347904021326,103.79619182386152
EW16/NE3/TE17,OUTRAM PARK MRT STATION,MRT,Outram Park (EW16 / NE3 / TE17),1.2814049781301369,103.8391264975836
CC28,TELOK BLANGAH MRT STATION,MRT,Telok Blangah (CC28),1.270753211458579,103.80974863683566
DT18,TELOK AYER MRT STATION,MRT,Telok Ayer (DT18),1.2822895361922544,103.84830280619272
NS21/DT11,NEWTON MRT STATION,MRT,Newton (NS21 / DT11),1.3123200995556394,103.83798529963272
NS12,CANBERRA MRT STATION,MRT,Canberra (NS12),1.443136699719395,103.82971180026024
TE1,WOODLANDS NORTH MRT STATION,MRT,Woodlands North (TE1),1.448292499870659,103.78569270000877
TE4,SPRINGLEAF MRT STATION,MRT,Springleaf (TE4),1.3981608610259548,103.81808184986264
TE5,LENTOR MRT STATION,MRT,Lentor (TE5),1.3850619469262857,103.8364694869142
TE6,MAYFLOWER MRT STATION,MRT,Mayflower (TE6),1.3720866386742012,103.83682393201484
TE7,BRIGHT HILL MRT STATION,MRT,Bright Hill (TE7),1.3633080980958083,103.8329359578363
TE8,UPPER THOMSON MRT STATION,MRT,Upper Thomson (TE8),1.3544118531277336,103.83293816886057
