MRTStopCode,MRTStopName,Type,FullName,Latitude,Longitude,LTAID
EW7,Eunos,MRT,Eunos (EW7),1.3197789515536371,103.90325246673828,36
EW25,Chinese Garden,MRT,Chinese Garden (EW25),1.3423528208747444,103.73259673807335,25
NS14,Khatib,MRT,Khatib (NS14),1.4173833701535468,103.83297990773832,23
NS7,Kranji,MRT,Kranji (NS7),1.4251776987704483,103.7621654109002,47
EW18,Redhill,MRT,Redhill (EW18),1.2895627264024532,103.81681667014902,17
NS5,Yew Tee,MRT,Yew Tee (NS5),1.3975350177934125,103.74740511413792,48
EW28,Pioneer,MRT,Pioneer (EW28),1.3375868822047494,103.69732151293609,66
EW20,Commonwealth,MRT,Commonwealth (EW20),1.3024387353271702,103.79830451562896,19
EW8/CC9,Paya Lebar,MRT,Paya Lebar (EW8 / CC9),1.318112082295278,103.8930603552516,35
EW3,Simei,MRT,Simei (EW3),1.343202894930727,103.95337169417571,40
EW2/DT32,Tampines,MRT,Tampines (EW2 / DT32),1.3533013563424343,103.945148688649,330
NS10,Admiralty,MRT,Admiralty (NS10),1.4405850010854109,103.80098800081232,44
NS13,Yishun,MRT,Yishun (NS13),1.4294430808108003,103.8350050461946,22
EW1,Pasir Ris,MRT,Pasir Ris (EW1),1.37298377357949,103.9492681182454,42
EW23,Clementi,MRT,Clementi (EW23),1.3149544924235943,103.76529887432638,21
EW9,Aljunied,MRT,Aljunied (EW9),1.316432611657838,103.88290604466044,34
NS16,Ang Mo Kio,MRT,Ang Mo Kio (NS16),1.3693473037885635,103.84993299388984,2
CG1/DT35,Expo,MRT,Expo (CG1 / DT35),1.3345497778378117,103.96154821070796,333
NS4/BP1,Choa Chu Kang,MRT,Choa Chu Kang (NS4 / BP1),1.3853616928288095,103.74434094618154,49
EW24/NS1,Jurong East,MRT,Jurong East (EW24 / NS1),1.3331526198940653,103.7422865440047,24
EW19,Queenstown,MRT,Queenstown (EW19),1.2948609327949876,103.805884333892,18
EW33,Tuas Link,MRT,Tuas Link (EW33),1.340463765648207,103.63687867834884,72
EW30,Gul Circle,MRT,Gul Circle (EW30),1.3195052149382065,103.660552955908,69
NS9/TE2,Woodlands,MRT,Woodlands (NS9 / TE2),1.4368751282107552,103.78648513490744,402
